epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.757,0.52794,2.50288,1.12946,0.60446,0.60295,0.63197,0.52667,0.56824,1.31981,0.85293,0.000236861,0.000236861,0.000236861
2,246.751,0.52423,1.63459,1.10265,0.4387,0.59424,0.54859,0.42794,0.70922,1.65,0.96228,0.000465459,0.000465459,0.000465459
3,326.584,0.5177,1.42913,1.09542,0.69469,0.67448,0.72808,0.60549,0.6652,1.26903,0.95714,0.000684632,0.000684632,0.000684632
4,407.379,0.52044,1.28111,1.08947,0.81621,0.77493,0.89541,0.8007,0.55864,0.96206,0.82353,0.000671588,0.000671588,0.000671588
5,485.949,0.4947,1.18956,1.07749,0.76831,0.73996,0.81076,0.71503,0.53032,1.11072,0.7747,0.000657451,0.000657451,0.000657451
6,566.097,0.4719,1.11689,1.06946,0.83212,0.76853,0.88711,0.78519,0.53385,0.89804,0.78026,0.000643314,0.000643314,0.000643314
7,645.934,0.46735,1.04856,1.0606,0.8928,0.83792,0.94628,0.84645,0.50659,0.73207,0.76401,0.000629177,0.000629177,0.000629177
8,726.853,0.45164,0.97259,1.04777,0.85796,0.84654,0.93907,0.85242,0.47438,0.72235,0.73128,0.00061504,0.00061504,0.00061504
9,809.825,0.44869,0.9408,1.04445,0.90588,0.85659,0.95709,0.87134,0.44293,0.60004,0.70486,0.000600902,0.000600902,0.000600902
10,893.043,0.432,0.89352,1.04219,0.89524,0.91969,0.96112,0.8735,0.4762,0.57094,0.71749,0.000586765,0.000586765,0.000586765
11,975.727,0.42773,0.87396,1.03336,0.91369,0.89816,0.96258,0.88287,0.4478,0.56832,0.70566,0.000572628,0.000572628,0.000572628
12,1056.58,0.42137,0.86147,1.03091,0.93335,0.91269,0.96784,0.88875,0.44228,0.54066,0.692,0.000558491,0.000558491,0.000558491
13,1138.88,0.41327,0.83617,1.02805,0.91915,0.92779,0.97294,0.90275,0.40552,0.5219,0.66754,0.000544354,0.000544354,0.000544354
14,1221.28,0.40531,0.80451,1.02494,0.94559,0.91699,0.97668,0.90758,0.42361,0.48575,0.68178,0.000530216,0.000530216,0.000530216
15,1305.29,0.39587,0.79094,1.01808,0.95524,0.94903,0.98086,0.91326,0.42576,0.44621,0.68816,0.000516079,0.000516079,0.000516079
16,1386.84,0.38839,0.74335,1.0118,0.90928,0.89503,0.97627,0.90949,0.42876,0.52373,0.68535,0.000501942,0.000501942,0.000501942
17,1469.88,0.38633,0.74007,1.00945,0.92629,0.91412,0.97472,0.90732,0.41349,0.49106,0.66952,0.000487805,0.000487805,0.000487805
18,1551.87,0.38072,0.71576,1.00945,0.9452,0.94604,0.97969,0.91445,0.42886,0.47252,0.68758,0.000473668,0.000473668,0.000473668
19,1633.56,0.38317,0.71981,1.00193,0.9248,0.95175,0.98164,0.92481,0.36524,0.44768,0.61722,0.00045953,0.00045953,0.00045953
20,1716.63,0.36933,0.69071,1.00332,0.97436,0.96527,0.98572,0.92609,0.40714,0.42072,0.66298,0.000445393,0.000445393,0.000445393
21,1798.75,0.3763,0.66128,1.00267,0.96544,0.96284,0.98542,0.92848,0.38949,0.38218,0.64671,0.000431256,0.000431256,0.000431256
22,1879.59,0.36571,0.6494,0.99051,0.94947,0.96555,0.98521,0.92737,0.38393,0.39373,0.63569,0.000417119,0.000417119,0.000417119
23,1961.72,0.36072,0.64966,0.99456,0.94817,0.96471,0.98528,0.92772,0.38372,0.41148,0.63932,0.000402982,0.000402982,0.000402982
24,2044.59,0.36324,0.64523,0.99412,0.96913,0.97058,0.98909,0.93489,0.37051,0.37675,0.62899,0.000388844,0.000388844,0.000388844
25,2126.09,0.35262,0.62054,0.98901,0.95769,0.95952,0.98971,0.93534,0.3796,0.40803,0.63482,0.000374707,0.000374707,0.000374707
26,2207.84,0.34826,0.60647,0.98426,0.96066,0.96401,0.98934,0.93454,0.36375,0.38893,0.61764,0.00036057,0.00036057,0.00036057
27,2288.73,0.34637,0.6195,0.98275,0.9688,0.95132,0.99001,0.93781,0.35818,0.36862,0.61757,0.000346433,0.000346433,0.000346433
28,2368.63,0.33879,0.58907,0.98056,0.97747,0.97413,0.99087,0.93938,0.35487,0.34264,0.61537,0.000332296,0.000332296,0.000332296
29,2449.25,0.34408,0.57744,0.98295,0.97287,0.9791,0.99183,0.9414,0.36235,0.38269,0.61811,0.000318158,0.000318158,0.000318158
30,2529.99,0.33826,0.58907,0.97613,0.97421,0.96968,0.99026,0.94331,0.34266,0.34669,0.59719,0.000304021,0.000304021,0.000304021
31,2611.85,0.33121,0.57029,0.97987,0.9812,0.95785,0.99055,0.94546,0.33444,0.3412,0.58816,0.000289884,0.000289884,0.000289884
32,2692.22,0.33105,0.56158,0.97528,0.97088,0.97559,0.99102,0.94464,0.33728,0.33693,0.60167,0.000275747,0.000275747,0.000275747
33,2774.86,0.32812,0.54379,0.97447,0.97867,0.96848,0.99155,0.94692,0.32519,0.33719,0.57742,0.00026161,0.00026161,0.00026161
34,2855.96,0.333,0.54829,0.97897,0.977,0.98562,0.99235,0.9498,0.34347,0.34678,0.60493,0.000247472,0.000247472,0.000247472
35,2936.83,0.32353,0.5306,0.96614,0.97698,0.97757,0.99216,0.94639,0.33798,0.33663,0.59596,0.000233335,0.000233335,0.000233335
36,3016.77,0.32754,0.52818,0.97095,0.9836,0.97904,0.99211,0.948,0.32658,0.32381,0.58588,0.000219198,0.000219198,0.000219198
37,3097.58,0.32237,0.5296,0.96973,0.98661,0.98458,0.99313,0.95165,0.34243,0.34077,0.61401,0.000205061,0.000205061,0.000205061
38,3177.21,0.3208,0.50727,0.96272,0.97524,0.99158,0.9934,0.95455,0.30073,0.29568,0.55954,0.000190924,0.000190924,0.000190924
39,3257.28,0.30918,0.50647,0.96527,0.9861,0.98357,0.99322,0.95413,0.30873,0.28558,0.5673,0.000176786,0.000176786,0.000176786
40,3337.79,0.30012,0.49917,0.9622,0.98336,0.99049,0.9939,0.9566,0.31902,0.31249,0.58589,0.000162649,0.000162649,0.000162649
